2026-05-10 13:24:38,289 | INFO | main | Default admin created: admin / admin123
2026-05-10 13:24:38,290 | INFO | main | Hospital Management System started ✅
2026-05-10 13:37:27,407 | INFO | main | → GET /docs
2026-05-10 13:37:27,428 | INFO | main | ← GET /docs [200]
2026-05-10 13:37:27,791 | INFO | main | → GET /openapi.json
2026-05-10 13:37:27,977 | INFO | main | ← GET /openapi.json [200]
2026-05-10 13:38:32,513 | INFO | main | → POST /auth/register
2026-05-10 13:38:33,215 | INFO | services.auth_service | User registered: Nivetha (role: UserRole.admin)
2026-05-10 13:38:33,215 | INFO | main | ← POST /auth/register [201]
2026-05-10 13:39:41,204 | INFO | main | → POST /auth/login
2026-05-10 13:39:41,274 | ERROR | utils.exceptions | HTTP 401 at http://127.0.0.1:8000/auth/login: Incorrect username or password
2026-05-10 13:39:41,274 | INFO | main | ← POST /auth/login [401]
2026-05-10 13:40:01,756 | INFO | main | → POST /auth/login
2026-05-10 13:40:01,770 | ERROR | utils.exceptions | HTTP 401 at http://127.0.0.1:8000/auth/login: Incorrect username or password
2026-05-10 13:40:01,770 | INFO | main | ← POST /auth/login [401]
2026-05-10 13:40:21,954 | INFO | main | → POST /auth/login
2026-05-10 13:40:21,961 | ERROR | utils.exceptions | HTTP 401 at http://127.0.0.1:8000/auth/login: Incorrect username or password
2026-05-10 13:40:22,005 | INFO | main | ← POST /auth/login [401]
2026-05-10 13:40:57,497 | INFO | main | → POST /auth/login
2026-05-10 13:40:58,193 | INFO | services.auth_service | User logged in: Nivetha
2026-05-10 13:40:58,203 | INFO | main | ← POST /auth/login [200]
2026-05-10 13:45:18,232 | INFO | main | → POST /auth/forgot-password
2026-05-10 13:45:18,272 | INFO | services.auth_service | Password reset token generated for: nivetha@gmail.com
2026-05-10 13:45:18,273 | INFO | main | ← POST /auth/forgot-password [200]
2026-05-10 13:47:38,090 | INFO | main | → POST /auth/reset-password
2026-05-10 13:47:38,832 | INFO | services.auth_service | Password reset successful for user: Nivetha
2026-05-10 13:47:38,832 | INFO | main | ← POST /auth/reset-password [200]
2026-05-10 13:49:53,768 | INFO | main | → GET /auth/me
2026-05-10 13:49:53,847 | ERROR | utils.exceptions | HTTP 401 at http://127.0.0.1:8000/auth/me: Not authenticated
2026-05-10 13:49:53,850 | INFO | main | ← GET /auth/me [401]
2026-05-10 13:50:16,240 | INFO | main | → POST /auth/login
2026-05-10 13:50:16,832 | INFO | services.auth_service | User logged in: Nivetha
2026-05-10 13:50:16,838 | INFO | main | ← POST /auth/login [200]
2026-05-10 13:50:50,192 | INFO | main | → GET /auth/me
2026-05-10 13:50:50,200 | INFO | main | ← GET /auth/me [200]
2026-05-10 13:53:26,265 | INFO | main | → POST /doctors
2026-05-10 13:53:26,325 | INFO | services.doctor_service | Doctor created: Dilli
2026-05-10 13:53:26,328 | INFO | main | ← POST /doctors [201]
2026-05-10 13:55:14,294 | INFO | main | → GET /doctors
2026-05-10 13:55:14,315 | INFO | main | ← GET /doctors [200]
2026-05-10 14:29:47,546 | INFO | main | → GET /doctors/1
2026-05-10 14:29:47,657 | INFO | main | ← GET /doctors/1 [200]
2026-05-10 14:30:30,648 | INFO | main | → PUT /doctors/4
2026-05-10 14:30:30,653 | ERROR | utils.exceptions | HTTP 404 at http://127.0.0.1:8000/doctors/4: Doctor not found
2026-05-10 14:30:30,653 | INFO | main | ← PUT /doctors/4 [404]
2026-05-10 14:30:47,257 | INFO | main | → PUT /doctors/1
2026-05-10 14:30:47,285 | INFO | services.doctor_service | Doctor updated: ID 1
2026-05-10 14:30:47,285 | INFO | main | ← PUT /doctors/1 [200]
2026-05-10 14:31:10,263 | INFO | main | → DELETE /doctors/1
2026-05-10 14:31:10,318 | INFO | services.doctor_service | Doctor deleted: ID 1
2026-05-10 14:31:10,319 | INFO | main | ← DELETE /doctors/1 [200]
2026-05-10 14:31:37,742 | INFO | main | → PATCH /doctors/1/toggle-status
2026-05-10 14:31:37,756 | ERROR | utils.exceptions | HTTP 404 at http://127.0.0.1:8000/doctors/1/toggle-status: Doctor not found
2026-05-10 14:31:37,758 | INFO | main | ← PATCH /doctors/1/toggle-status [404]
2026-05-10 14:32:49,024 | INFO | main | → POST /doctors
2026-05-10 14:32:49,071 | INFO | services.doctor_service | Doctor created: Vinith
2026-05-10 14:32:49,071 | INFO | main | ← POST /doctors [201]
2026-05-10 14:33:50,538 | INFO | main | → POST /doctors
2026-05-10 14:33:50,612 | INFO | services.doctor_service | Doctor created: dilli
2026-05-10 14:33:50,675 | INFO | main | ← POST /doctors [201]
2026-05-10 14:38:09,910 | INFO | main | → POST /patients
2026-05-10 14:38:09,970 | INFO | services.patient_service | Patient created: Desigan
2026-05-10 14:38:09,973 | INFO | main | ← POST /patients [201]
2026-05-10 14:39:40,981 | INFO | main | → POST /patients
